action,dest,file,final_size,method,original_size,reason,reduction_pct,success,type
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/AFE 101 ASS.pdf,66816,,66816,,,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 1st lecture review.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 1st lecture review.pdf,573457,ghostscript,710917,,19.335590511972566,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 1st lecture review [Compatibility Mode] [Repaired].pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 1st lecture review [Compatibility Mode] [Repaired].pdf,515661,ghostscript,623752,,17.32916287242365,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AESA_S 100 level PQ.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AESA_S 100 level PQ.pdf,5256856,ghostscript,5256856,,0.0,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 5th lecture review recent.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 5th lecture review recent.pdf,363779,ghostscript,373442,,2.5875504094343915,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 2nd lecture review.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 2nd lecture review.pdf,915182,ghostscript,1299122,,29.55380633997423,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 3rd lecture review.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 3rd lecture review.pdf,883243,ghostscript,1233647,,28.40391132957807,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 5th lecture review.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 5th lecture review.pdf,1078805,ghostscript,1189753,,9.325296931379878,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 6th lecture review recent (2).pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 6th lecture review recent (2).pdf,891531,ghostscript,1002728,,11.089447985894484,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 6th lecture review recent.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 6th lecture review recent.pdf,893158,ghostscript,1003330,,10.98063448715777,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 7th lecture 2013review.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 7th lecture 2013review.pdf,873038,ghostscript,942316,,7.351886203778779,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 6th lecture review2013.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 6th lecture review2013.pdf,871623,ghostscript,980941,,11.144197255492427,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 7th lecture review [Autosaved].pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 7th lecture review [Autosaved].pdf,924045,ghostscript,1028356,,10.143471716020525,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 7th lecture review.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 7th lecture review.pdf,848736,ghostscript,935540,,9.278491566368086,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 8th lecture 2013review.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 8th lecture 2013review.pdf,890371,ghostscript,956898,,6.952360648679379,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/SUICIDE.pdf,266055,,266055,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/TIPS TO PASS.pdf,16089,,16089,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/AFE NOTES/LEADERSHIP STYLES.pdf,34026,,34026,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/AFE NOTES/LEADERSHIP THEORIES.pdf,99300,,99300,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/AFE NOTES/LESSON ONE POWER POINT.pdf,191099,,191099,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/AFE NOTES/LESSON ONE.pdf,108468,,108468,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/ASSIGNMENT AND CONTINUOUS ASSESSMENT.pdf,59591,,59591,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/CONCEPT OF LEADERSHIP.pdf,107625,,107625,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/LEADERSHIP STYLES.pdf,34026,,34026,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/LEADERSHIP THEORIES.pdf,99300,,99300,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/LESSON ONE POWER POINT.pdf,191099,,191099,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/LESSON ONE.pdf,108468,,108468,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE 103/TIPS TO PASS AFE103.pdf,16294,,16294,,,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 8th lecture review.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 8th lecture review.pdf,463453,ghostscript,518129,,10.552584395005882,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/BIO 101/BIO 103 - All notes.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/BIO 101/BIO 103 - All notes.pdf,624169,ghostscript,762080,,18.096656519000632,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/BIO 101/BIO_101_LECTURE_7-8_Tissues.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/BIO 101/BIO_101_LECTURE_7-8_Tissues.pdf,3145595,ghostscript,3196957,,1.606590266931962,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/BIO 101/complexions.pdf,73342,,73342,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/BIO 101/difference between cilia and flagella - Copy (2).pdf,61180,,61180,,,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/BIO 101/Bio_101LECT_1-3.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/BIO 101/Bio_101LECT_1-3.pdf,983129,ghostscript,1090983,,9.885946893764618,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/1_Introduction_to_what_philosophy_is.pdf,124534,,124534,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/2._Ethics_and_Human_Conduct_in_the_Society.pdf,75879,,75879,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/GST 113- CLASS 1.pdf,111203,,111203,,,True,pdf
,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/GST 113/GST 113- CLASS 2.pptx,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/GST 113- CLASS 2.pptx,,,,Bad CRC-32 for file 'ppt/fonts/font2.fntdata',,False,pptx
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/GST 113- CLASS 3.pptx,86341,,86341,,,True,pptx
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/GST 113- CLASS 4.pptx,58928,,58928,,,True,pptx
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/GST 113- FALLACY.pdf,109182,,109182,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/GST 113- Formal Logic.pdf,164562,,164562,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/GST 113- Relational Proposition.pdf,93349,,93349,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/TIPS TO PASS GST113.pdf,17742,,17742,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 113/~$GST 113- CLASS 1.pptx,165,,165,,,True,pptx
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/AFE  101/Health awareness education 9th lecture review (2).pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/AFE  101/Health awareness education 9th lecture review (2).pdf,1815033,ghostscript,2390847,,24.084100739194103,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 1 - history and function-1.pdf,61063,,61063,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 1.pdf,22099,,22099,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 2 & 3 GST 112.pdf,41105,,41105,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 2 - UNIVERSITY LIBRARIES AND OTHER TYPES.pdf,51276,,51276,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 2.pdf,24647,,24647,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 3 - library materials.pdf,62870,,62870,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 3.pdf,28077,,28077,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 4 -UNDERSTANDING LIBRARY CATALOGUE.pdf,55180,,55180,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 4.pdf,19643,,19643,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 5 - COPYRIGHT LAW.pdf,41419,,41419,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 5.pdf,17727,,17727,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 6 - BIBLIOGRAPHIC CITATIONS.pdf,92143,,92143,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 6.pdf,27088,,27088,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 7 - ICT 1.pdf,52776,,52776,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 8 - ICT 2.pdf,84499,,84499,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/Lecture 9 - study skills.pdf,71799,,71799,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/GST 115/TIPS TO PASS LIBRARY.pdf,16546,,16546,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/PHY 103/phy 103 2.pdf,74743,,74743,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/PQ/._100 Level Past Questions (TRJ - AMSA).pdf,4096,,4096,,,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/BIO 101/Lec__4-6_Genetics_online_-_Copy.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/BIO 101/Lec__4-6_Genetics_online_-_Copy.pdf,675620,ghostscript,785051,,13.939349163302762,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/PQ/GST115PQ2.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/PQ/GST115PQ2.pdf,535514,ghostscript,670414,,20.121894829165264,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/2/chm 102 exam objectives.pdf,54995,,54995,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/2/CHM 102 PAST QUESTIONS.pdf,32975,,32975,,,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/2/NEW CHM 102 PQ.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/2/NEW CHM 102 PQ.pdf,1077243,ghostscript,1077243,,0.0,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/100/1/StudySmart x IEEE 100L past questions pack.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/100/1/StudySmart x IEEE 100L past questions pack.pdf,2810900,ghostscript,2810900,,0.0,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/AFE 203/AFE 203 FRENCH COURSE OUTLINE 20222023.pdf,35718,,35718,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/AFE 203/AUXILIARY VERBS AND MODAL VERBS.pdf,277153,,277153,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/AFE 203/CONJUGATION OF THIRD GROUP OF VERBS IN PRESENT TENSE.pdf,289474,,289474,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/AFE 203/FIRST CONJUGATION VERBS IN PRESENT TENSE.pdf,144759,,144759,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/AFE 203/Note on interrogation and Negation.pdf,107977,,107977,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/AFE 207/IGBO ASSIGNMENT.pdf,55194,,55194,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 201/Handwritten ENG201.pdf,0,,0,,,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 201/The Science and Engineering of Materials - Askeland(6e).pdf,0,,0,,,True,pdf
